device_id	notification_id	prox
6fcc5b3f284642e7b91d8c16df97167a	9fd6a87f56384574b450fa4fb06452e3	0
d143f2f107854051bfc9e2cbe8c913b5	e20ce4ff14ec418bad805a9ba3945cd1	1
3ac8550c4587483290c57e5e98d6ee05	61c4a437149d46a7a19ed9971b521429	1
d143f2f107854051bfc9e2cbe8c913b5	ebf9eaa075c84a54be636461555532dd	1
3ac8550c4587483290c57e5e98d6ee05	03907f8753a5497daa589a1782d78486	1
3ac8550c4587483290c57e5e98d6ee05	6a59deb0d18b412bb834a5ef82606078	1
e79a7d3e6985433d82ade35e42d3f1ff	7535d448eb9f47b78930dc291ddfe93c	1
6dbcd91158e248bea04dd5dd7c81e76e	8bf2a39624444bc2b620a7570e5267c4	1
db9a6313e6e84616b9be27054a2094b2	dbc399abd6c44e86b0155db250547503	1
d143f2f107854051bfc9e2cbe8c913b5	66bb7951a15c43b3882b9e1ed3e773b1	1
3ac8550c4587483290c57e5e98d6ee05	5036beabfae34e71a74311fdc641123c	1
adf653615f6644e5a2feeabf5f7ac675	cd4738d28a5f448da15c6689e1bfb55b	1
d143f2f107854051bfc9e2cbe8c913b5	469e8951714f41d3b8f40f78132ecb04	1
e79a7d3e6985433d82ade35e42d3f1ff	9692b441f10e4c2ab05a384b5e2140b7	1
6fcc5b3f284642e7b91d8c16df97167a	a2fb9b999daf4a639dd43cc76b535020	0
6dbcd91158e248bea04dd5dd7c81e76e	37400dd1e0764643903d294180ba02ae	1
6fcc5b3f284642e7b91d8c16df97167a	56e7f3fabee8435c8aee03f8b52aedee	1
6dbd5e5e6c6040938ed458705ece452e	5dad3648dbec4be8bfb9c6200a52b680	1
d143f2f107854051bfc9e2cbe8c913b5	c67221df014146a4a0260c0fdbb4febb	1
adf653615f6644e5a2feeabf5f7ac675	053916d0605349b0b38428ad463b04d9	1
43fd6ac3ba544d0aa99bb50a266d1f76	9ed041f8f75f4b76959e8fb8b1f8c906	0
e50958b880754ea19659c6aa7f1e9dd7	c55991a1a25d4d15be8bb71b5544882c	0
6dbd5e5e6c6040938ed458705ece452e	3ed98d2aaadf49dd9b636ef4ea80d869	1
db9a6313e6e84616b9be27054a2094b2	8abf32a4718d4844a343c4a32329ca23	0
db9a6313e6e84616b9be27054a2094b2	2cabd687b9bc47a6855a9f3ea83fdf2c	1
3ea1a425177d4163a5a9f04c690d2965	7edf25c6fc7e4f0ab20d9fb089e3cae7	0
94f50e4b32c14cc287c6165e4681cd6b	6ec2f2538f854d90bb584a734091556b	1
3ac8550c4587483290c57e5e98d6ee05	b46e8d9ca3fc408f950f744514cee48a	1
e79a7d3e6985433d82ade35e42d3f1ff	d092ed6544d142f7b2e8a9247c193886	1
db9a6313e6e84616b9be27054a2094b2	7bef69dfc6094d05b14fd36cd7e19593	1
f388a39a209144198f1312861dab3105	aa35aef840e84085b8d216b8357b9f49	1
e79a7d3e6985433d82ade35e42d3f1ff	6054047fcc4b4d4a87876d95ec77e8aa	0
adf5c3a65c8e4d0abc900fccf2b665fe	e8f54ffb5dd641ad9c838a96325e1caf	1
3ac8550c4587483290c57e5e98d6ee05	94bfeb35e25a44239306c4f6c55551eb	1
d143f2f107854051bfc9e2cbe8c913b5	e4bf6bc423fa4cae95f68ace45f9a72e	1
3ac8550c4587483290c57e5e98d6ee05	60d448b2fb4046fb8cf32c278ad6eb52	1
e79a7d3e6985433d82ade35e42d3f1ff	a1dadba355b54355ab055fcbab5749f8	1
29727154906d4b7bbda2f43a866876b6	3e5e4018356a4001ab329a84cd2a74fe	0
3ac8550c4587483290c57e5e98d6ee05	48233a6d1e924b2aa016d738ab7bf23e	1
d143f2f107854051bfc9e2cbe8c913b5	31b7b2e8415345e49a70d5a0ec763549	1
adf653615f6644e5a2feeabf5f7ac675	554af1688905483bbb02fb76f779fb5e	1
43fd6ac3ba544d0aa99bb50a266d1f76	ecb2eb9f555841469ab0f2e2f5336b28	1
d143f2f107854051bfc9e2cbe8c913b5	9004077174f04ea99f413db9578a65d7	1
3ac8550c4587483290c57e5e98d6ee05	f71dcb68457541038a63dafb7bde056a	0
94f50e4b32c14cc287c6165e4681cd6b	198795a3e3a7446384dce9ca7de98625	1
6dbcd91158e248bea04dd5dd7c81e76e	bcf43ccb546c463092d3f9f204ece5a0	1
d143f2f107854051bfc9e2cbe8c913b5	0e346319f6284ec79d0e80e29af72f12	1
3ac8550c4587483290c57e5e98d6ee05	cd45f09abcc14e539cf62d3c1123e5f4	1
3ac8550c4587483290c57e5e98d6ee05	2992e768e93449c2a20f2c280388a0b2	1
94f50e4b32c14cc287c6165e4681cd6b	f8717863df494cc9854bc3fd4b11567b	1
adf653615f6644e5a2feeabf5f7ac675	e51a42a867d1422a9e8bcce0b2981dcb	1
adf653615f6644e5a2feeabf5f7ac675	d0bcf1ed953d4fe487a45a5e37a7f5bc	1
db9a6313e6e84616b9be27054a2094b2	552ae35ee6934d14b9fdc8354d0e0933	1
f388a39a209144198f1312861dab3105	fc813689a4164987af15f72d4468439c	1
db9a6313e6e84616b9be27054a2094b2	896a0f7084e24119a9409487e1af2482	1
3ac8550c4587483290c57e5e98d6ee05	9c3ec4236f2c42f0af5dbb6c41fdc743	1
43fd6ac3ba544d0aa99bb50a266d1f76	aed59bf2c7c34b80b8e4e9dc9c6d3922	1
f388a39a209144198f1312861dab3105	87b70c50d9e3406d8b944cc2553f812e	0
f388a39a209144198f1312861dab3105	625705f1f6094dfd9745d5b0dd37d1f2	1
db9a6313e6e84616b9be27054a2094b2	279fef45f6c541bba57b2ee70e5844ac	1
6fcc5b3f284642e7b91d8c16df97167a	f0df67b6910e4517ae978bc3ae51db91	0
db9a6313e6e84616b9be27054a2094b2	45f01729a67d49acbb851147be4ee742	1
db9a6313e6e84616b9be27054a2094b2	00caf48123514d0eb959987b8852f4e2	1
