device_id	notification_id	location
6dbcd91158e248bea04dd5dd7c81e76e	ac6b4fb3e019478bb886c324a2daedbb	Home
ef24e3578f264168ae5adfb7e75e4cea	fcd7807a12a24c288a1db5e4d007372c	Home
f388a39a209144198f1312861dab3105	2f4083d5672b46e19b6f2ea0d09ea3f5	Other
adf653615f6644e5a2feeabf5f7ac675	51e3f2c406eb4961be31acaacfe38f2f	Home
adf5c3a65c8e4d0abc900fccf2b665fe	0834f177129c4c80945783301680138b	Home
e79a7d3e6985433d82ade35e42d3f1ff	68077d0028ed46f2ad18e5d3a0107ef9	Work
3ac8550c4587483290c57e5e98d6ee05	3f5834a2080f4c5390672d2e1fd2d126	Home
db9a6313e6e84616b9be27054a2094b2	50fb53b5086b4f4abc1be1f97f71a627	Home
3ac8550c4587483290c57e5e98d6ee05	8dfbc82db8304d76b3da8d64bc1e5f70	Home
6dbcd91158e248bea04dd5dd7c81e76e	3befad8952844c4d93667066b6772c34	Home
adf653615f6644e5a2feeabf5f7ac675	8c31ff1a6f624912ba36a721e0dec99d	Other
f388a39a209144198f1312861dab3105	b06e34c2352b45d9baf154620ef6ae39	Home
6dbcd91158e248bea04dd5dd7c81e76e	8e75636ba73d417a81f818550817a52a	Home
29727154906d4b7bbda2f43a866876b6	fecdd7564755450899fb63615e0fa5d9	Home
6dbcd91158e248bea04dd5dd7c81e76e	f26461b243e94c4ba9b9cd7265b6578d	Home
6fcc5b3f284642e7b91d8c16df97167a	cda790ee9bff47e9981e5d76538add01	Other
6dbcd91158e248bea04dd5dd7c81e76e	785519b7862e4cdcbb554389165e9425	Other
6dbd5e5e6c6040938ed458705ece452e	31ec671b5e6444d0823fcf06fccd21c7	Home
6dbcd91158e248bea04dd5dd7c81e76e	0ee5a5d38bcc475db4a59bbecaccc951	Home
adf653615f6644e5a2feeabf5f7ac675	c85084b0b72f4a749bf7e8445cd555b6	Other
6dbd5e5e6c6040938ed458705ece452e	b2b6235bcf21437f89db0ae5f6bd1bfc	Home
6dbcd91158e248bea04dd5dd7c81e76e	05e87db034884af3af7e86171a1817f9	Home
